"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1822","IL4","week24 - week0",0.167073809523815,0.929456847692151,82,0.179754240273403,0.857788966877649,0.976771829500884
"1823","IL4","week52 - week0",0.954370129870133,0.929456847692151,82,1.02680413000328,0.307532155131825,0.902742473418827
"1824","IL4","week52 - week24",0.787296320346318,0.929456847692151,82,0.84704988972988,0.399432759667104,0.854415764564564
"1825","IL6","week24 - week0",-1.64893008658009,1.21857392511274,82,-1.35316377004172,0.17972216999398,0.836903694877573
"1826","IL6","week52 - week0",-0.544769047619045,1.21857392511274,82,-0.44705457452542,0.656014255441874,0.989292669723712
"1827","IL6","week52 - week24",1.10416103896104,1.21857392511274,82,0.906109195516299,0.367532923108117,0.821359378462206
"1828","PTGES2","week24 - week0",-0.371542640692642,0.299673479813978,82,-1.23982489516015,0.218576552718295,0.844237478753202
"1829","PTGES2","week52 - week0",0.132200649350649,0.299673479813978,82,0.44114897799002,0.660266144181481,0.989292669723712
"1830","PTGES2","week52 - week24",0.503743290043291,0.299673479813978,82,1.68097387315017,0.0965734646422228,0.821359378462206
"1831","NDUFA5","week24 - week0",-0.405857359307362,0.251271070317719,82,-1.61521721857664,0.110105104183715,0.817190982494432
"1832","NDUFA5","week52 - week0",-0.10899826839827,0.251271070317719,82,-0.433787575547185,0.66558184701468,0.989292669723712
"1833","NDUFA5","week52 - week24",0.296859090909092,0.251271070317719,82,1.18142964302945,0.240847188413609,0.821359378462206
"1834","IL16","week24 - week0",-0.0342383116883113,0.25071114879662,82,-0.136564775250924,0.891709554226954,0.979310139866934
"1835","IL16","week52 - week0",0.337009956709956,0.25071114879662,82,1.34421607625971,0.182585676242592,0.816048997141891
"1836","IL16","week52 - week24",0.371248268398268,0.25071114879662,82,1.48078085151063,0.142497272168073,0.821359378462206
"1837","IL11","week24 - week0",-0.247109956709958,0.391902935664615,82,-0.63053867226305,0.530095607362118,0.925765055919488
"1838","IL11","week52 - week0",-0.710009307359309,0.391902935664614,82,-1.81169683292938,0.0736941997555975,0.56038297730819
"1839","IL11","week52 - week24",-0.462899350649351,0.391902935664615,82,-1.18115816066633,0.240954395522925,0.821359378462206
"1840","TNFSF13","week24 - week0",-0.0781129870129873,0.137777871809569,82,-0.56694871235166,0.572297753245933,0.939634152089483
"1841","TNFSF13","week52 - week0",0.00909848484848456,0.137777871809569,82,0.0660373449595746,0.947508833419267,0.989292669723712
"1842","TNFSF13","week52 - week24",0.0872114718614719,0.137777871809569,82,0.632986057311234,0.528504111446555,0.903531619100668
"1843","CXCL17","week24 - week0",0.0142694805194775,0.211513818108862,82,0.06746358534426,0.946376877749478,0.994695336947633
"1844","CXCL17","week52 - week0",-0.186054761904762,0.211513818108862,82,-0.879634075769951,0.381628171635677,0.931734332087105
"1845","CXCL17","week52 - week24",-0.20032424242424,0.211513818108862,82,-0.947097661114211,0.346371726449457,0.821359378462206
"1846","FCRL2","week24 - week0",-1.11677727272728,0.288740576168253,82,-3.86775314902923,0.000219219799812047,0.0266717423104657
"1847","FCRL2","week52 - week0",-1.29687640692641,0.288740576168253,82,-4.49149345109951,2.29355820321771e-05,0.00279049581391488
"1848","FCRL2","week52 - week24",-0.180099134199133,0.288740576168253,82,-0.623740302070281,0.534529453334486,0.908811914527359
"1849","SIT1","week24 - week0",0.0930867965367963,0.253438606842816,82,0.367295250303082,0.714345032510459,0.956829126114927
"1850","SIT1","week52 - week0",-0.0638047619047597,0.253438606842815,82,-0.251756284094206,0.801859344565596,0.989292669723712
"1851","SIT1","week52 - week24",-0.156891558441556,0.253438606842815,82,-0.619051534397288,0.537598499872859,0.908811914527359
"1852","CD22","week24 - week0",-2.52779372294373,0.212589429978833,82,-11.8904957936781,1.56793234278072e-19,1.14459061022993e-16
"1853","CD22","week52 - week0",-2.41778528138528,0.212589429978833,82,-11.3730267851324,1.54434688346152e-18,1.12737322492691e-15
"1854","CD22","week52 - week24",0.110008441558442,0.212589429978833,82,0.517469008545698,0.60622196932611,0.916473752585181
"1855","CAT","week24 - week0",-0.237075757575761,0.378418939573507,82,-0.626490201158943,0.532733696751784,0.927036909135475
"1856","CAT","week52 - week0",-0.0853287878787878,0.378418939573507,82,-0.225487624839699,0.822160985672542,0.989292669723712
"1857","CAT","week52 - week24",0.151746969696973,0.378418939573507,82,0.401002576319244,0.689461239044201,0.936442443913945
"1858","GLOD4","week24 - week0",0.0720510822510828,0.299372317657187,82,0.240673829881589,0.810408641162702,0.97244903805597
"1859","GLOD4","week52 - week0",0.257054978354979,0.299372317657186,82,0.858646451905198,0.393038631151192,0.936009948666461
"1860","GLOD4","week52 - week24",0.185003896103896,0.299372317657187,82,0.617972622023609,0.53830597865098,0.908811914527359
"1861","RNASE4","week24 - week0",-0.158019264069265,0.196123090794035,82,-0.805714734708188,0.422737698363112,0.87154806974561
"1862","RNASE4","week52 - week0",-0.226191991341993,0.196123090794035,82,-1.15331647296715,0.252131232420326,0.86556206373234
"1863","RNASE4","week52 - week24",-0.0681727272727274,0.196123090794035,82,-0.347601738258966,0.729029958805899,0.954091476599915
"1864","CFHR5","week24 - week0",-0.0350495670995674,0.169205285031321,82,-0.207142271549494,0.836412285488806,0.97244903805597
"1865","CFHR5","week52 - week0",-0.0242612554112559,0.16920528503132,82,-0.143383555701378,0.886339038239885,0.989292669723712
"1866","CFHR5","week52 - week24",0.0107883116883115,0.169205285031321,82,0.0637587158481162,0.949317522314961,0.984078480592994
"1867","PF4","week24 - week0",-0.30217987012987,0.335170863998497,82,-0.901569624892053,0.369926033727624,0.865582065676754
"1868","PF4","week52 - week0",-0.859930952380955,0.335170863998497,82,-2.5656494783652,0.0121185078818458,0.275997402879502
"1869","PF4","week52 - week24",-0.557751082251085,0.335170863998497,82,-1.66407985347314,0.0999136395390553,0.821359378462206
"1870","LY9","week24 - week0",-0.162458874458876,0.135359768417914,82,-1.20020059399995,0.233517413641272,0.853267848645464
"1871","LY9","week52 - week0",-0.130385930735931,0.135359768417914,82,-0.963254682391103,0.338251809906803,0.916071137979956
"1872","LY9","week52 - week24",0.0320729437229446,0.135359768417914,82,0.236945911608843,0.813289696246413,0.963067496117971
"1873","ADGRD1","week24 - week0",-0.0895742424242433,0.111011182183215,82,-0.806893870172539,0.422061851384784,0.87154806974561
"1874","ADGRD1","week52 - week0",-0.0270770562770559,0.111011182183215,82,-0.243912872059747,0.807907525689037,0.989292669723712
"1875","ADGRD1","week52 - week24",0.0624971861471874,0.111011182183215,82,0.562980998112791,0.57498394465077,0.910484685798641
